subject,timepoint,event,region,signal
s3,6,cue,parietal,0.084999619
s2,6,cue,parietal,-0.046840745
s1,6,cue,parietal,0.181532924
s8,7,cue,parietal,0.00526228
s0,6,cue,parietal,0.063798787
s9,7,cue,parietal,-0.023481938
s11,7,cue,parietal,0.036892432
s4,9,cue,parietal,-0.149299268
s3,9,cue,parietal,-0.065935072
s2,9,cue,parietal,-0.053902534
s1,9,cue,parietal,-0.152929131
s0,9,cue,parietal,-0.020043653
s7,7,cue,parietal,0.030374543
s5,2,cue,parietal,0.025402584
s10,14,cue,frontal,0.00716734
s4,2,cue,parietal,0.021762354
s8,14,cue,frontal,0.021794111
s7,14,cue,frontal,-0.019831457
s6,14,cue,frontal,-0.02081477
s13,15,cue,frontal,-0.003053481
s3,2,cue,parietal,-0.013869412
s0,16,cue,frontal,-0.017191927
s2,16,cue,frontal,0.014509864
s9,17,cue,frontal,-0.004900408
s8,17,cue,frontal,0.013762124
s7,17,cue,frontal,-0.044474103
s6,17,cue,frontal,0.020415338
s5,17,cue,frontal,0.005883734
s4,17,cue,frontal,-0.044785627
s3,17,cue,frontal,-0.014138083
s2,17,cue,frontal,0.010319405
s1,17,cue,frontal,-0.000438739
s0,17,cue,frontal,-0.010375215
s13,16,cue,frontal,-0.002521912
s12,16,cue,frontal,-0.001723369
s11,16,cue,frontal,0.057105396
s10,16,cue,frontal,0.010163193
s9,16,cue,frontal,-0.004289867
s8,16,cue,frontal,0.016331628
s7,16,cue,frontal,-0.039686684
s6,16,cue,frontal,0.031506509
s5,16,cue,frontal,-0.010068302
s4,16,cue,frontal,-0.040862282
s3,16,cue,frontal,-0.016807465
s1,16,cue,frontal,0.004579084
s8,0,cue,frontal,0.01041698
s7,12,cue,parietal,-0.020127482
s6,0,cue,frontal,0.018652538
s13,17,cue,parietal,-0.017293379
s12,18,cue,parietal,-0.011434108
s11,18,cue,parietal,0.043194967
s10,18,cue,parietal,-0.043577499
s9,18,cue,parietal,-0.051040173
s8,18,cue,parietal,-0.017097188
s7,18,cue,parietal,-0.013380629
s6,18,cue,parietal,0.019531638
s5,18,cue,parietal,0.037160708
s4,18,cue,parietal,-0.052735581
s3,18,cue,parietal,-0.039710094
s2,18,cue,parietal,0.017805339
s1,18,cue,parietal,-0.026370131
s0,18,cue,parietal,-0.014663525
s6,14,cue,parietal,-0.014261648
s11,17,cue,parietal,0.031867005
s13,18,cue,parietal,-0.020815505
s10,17,cue,parietal,-0.031246759
s9,17,cue,parietal,-0.036362328
s8,17,cue,parietal,-0.005919174
s7,17,cue,parietal,-0.02643532
s6,17,cue,parietal,0.02796993
s5,17,cue,parietal,0.0258273
s4,17,cue,parietal,-0.037395454
s3,17,cue,parietal,-0.039589391
s2,17,cue,parietal,0.017802575
s1,17,cue,parietal,-0.010481121
s0,17,cue,parietal,-0.025895657
s13,16,cue,parietal,-0.009379363
s12,16,cue,parietal,-0.022735163
s12,17,cue,parietal,-0.015377692
s7,9,cue,parietal,-0.000159038
s11,16,cue,parietal,0.029306764
s10,16,cue,parietal,-0.016982238
s9,16,cue,parietal,-0.03539479
s6,16,cue,parietal,0.020626448
s5,16,cue,parietal,0.016004512
s4,16,cue,parietal,-0.020759131
s3,16,cue,parietal,-0.041899295
s2,16,cue,parietal,0.024931103
s1,16,cue,parietal,-0.000349269
s0,16,cue,parietal,-0.026121669
s13,15,cue,parietal,-0.001389892
s12,15,cue,parietal,-0.024801131
s11,15,cue,parietal,0.037434527
s10,15,cue,parietal,-0.008887011
s9,15,cue,parietal,-0.038256761
s8,15,cue,parietal,0.003590413
s7,15,cue,parietal,-0.013838572
s6,15,cue,parietal,0.006440907
s5,15,cue,parietal,0.007884634
s4,15,cue,parietal,-0.012294695
s3,15,cue,parietal,-0.042253233
s2,15,cue,parietal,0.031595401
s1,15,cue,parietal,0.003237794
s0,15,cue,parietal,-0.025613787
s13,14,cue,parietal,-0.003713809
s12,14,cue,parietal,-0.021824245
s11,14,cue,parietal,0.041342091
s10,14,cue,parietal,-0.010761496
s9,14,cue,parietal,-0.034386456
s8,14,cue,parietal,-0.007202161
s7,14,cue,parietal,-0.008654647
s8,16,cue,parietal,0.000848484
s5,14,cue,parietal,0.004815942
s3,14,cue,parietal,-0.048376256
s5,0,cue,frontal,-0.027032713
s2,13,cue,parietal,0.03947626
s13,11,cue,parietal,-0.050694975
s1,14,cue,parietal,-0.019019768
s0,14,cue,parietal,-0.031080445
s13,13,cue,parietal,-0.00911163
s12,13,cue,parietal,-0.020109147
s11,13,cue,parietal,0.02816069
s10,13,cue,parietal,-0.021587219
s9,13,cue,parietal,-0.016970349
s8,13,cue,parietal,-0.026404727
s7,13,cue,parietal,-0.014084211
s6,13,cue,parietal,-0.030560873
s5,13,cue,parietal,-0.006506771
s4,13,cue,parietal,-0.010612646
s3,13,cue,parietal,-0.063704719
s2,14,cue,parietal,0.035839985
s10,11,cue,parietal,-0.045459978
s0,13,cue,parietal,-0.035779818
s1,12,cue,parietal,-0.103784572
s2,12,cue,parietal,0.030922674
s3,12,cue,parietal,-0.081459998
s4,12,cue,parietal,-0.007092104
s1,13,cue,parietal,-0.052710213
s6,12,cue,parietal,-0.042589368
s5,12,cue,parietal,-0.022032901
s8,12,cue,parietal,-0.042112387
s9,12,cue,parietal,-0.004044332
s10,12,cue,parietal,-0.030997334
s11,12,cue,parietal,-0.00237654
s12,12,cue,parietal,-0.017829525
s13,12,cue,parietal,-0.02571641
s0,12,cue,parietal,-0.036943354
s12,10,cue,parietal,-0.017928187
s12,11,cue,parietal,-0.018536398
s9,10,cue,parietal,-0.01353796
s9,11,cue,parietal,-0.004141147
s8,11,cue,parietal,-0.045938703
s7,11,cue,parietal,-0.020265761
s6,11,cue,parietal,-0.051604344
s5,11,cue,parietal,-0.039027386
s4,11,cue,parietal,-0.01901191
s3,11,cue,parietal,-0.094231337
s2,11,cue,parietal,0.009136973
s1,11,cue,parietal,-0.149785193
s0,11,cue,parietal,-0.039001979
s13,10,cue,parietal,-0.073327609
s4,14,cue,parietal,-0.011868015
s11,10,cue,parietal,-0.04291722
s11,11,cue,parietal,-0.034447323
s10,10,cue,parietal,-0.05604726
s8,10,cue,parietal,-0.045905959
s7,10,cue,parietal,-0.014283246
s6,10,cue,parietal,-0.063754787
s5,10,cue,parietal,-0.049764671
s4,10,cue,parietal,-0.068971427
s3,10,cue,parietal,-0.09174915
s2,10,cue,parietal,-0.022062221
s1,10,cue,parietal,-0.176452508
s0,10,cue,parietal,-0.032698832
s13,9,cue,parietal,-0.075079451
s12,9,cue,parietal,-0.017397308
s11,9,cue,parietal,-0.026744403
s10,9,cue,parietal,-0.067724604
s9,9,cue,parietal,-0.029546394
s7,16,cue,parietal,-0.024589306
s8,9,cue,parietal,-0.039663696
s0,0,cue,frontal,0.007766112
s3,11,cue,frontal,-0.08899118
s3,12,cue,frontal,-0.07071405
s2,12,cue,frontal,0.04236287
s1,12,cue,frontal,0.012255247
s0,12,cue,frontal,-0.007125134
s13,11,cue,frontal,-0.040369212
s12,11,cue,frontal,-0.006349258
s11,11,cue,frontal,0.030528396
s10,11,cue,frontal,-0.001503366
s9,11,cue,frontal,0.020380344
s8,11,cue,frontal,-0.014830161
s7,11,cue,frontal,-0.005114081
s6,11,cue,frontal,-0.052011779
s5,11,cue,frontal,-0.023329026
s4,11,cue,frontal,-0.024692765
s2,11,cue,frontal,0.022680367
s6,9,cue,parietal,-0.069248081
s1,11,cue,frontal,-0.032769644
s0,11,cue,frontal,0.007460431
s13,10,cue,frontal,-0.066286528
s12,10,cue,frontal,-0.009353753
s5,12,cue,frontal,-0.01814594
s11,10,cue,frontal,-0.004137911
s6,12,cue,frontal,-0.043699594
s8,12,cue,frontal,-0.007430693
s1,14,cue,frontal,0.020241741
s0,14,cue,frontal,-0.024075714
s13,13,cue,frontal,-0.009388272
s12,13,cue,frontal,-0.00444997
s11,13,cue,frontal,0.059510357
s10,13,cue,frontal,0.004399743
s4,12,cue,frontal,-0.016983907
s3,7,cue,frontal,0.026668245
s1,7,cue,frontal,-0.053825194
s5,9,cue,parietal,-0.056756631
s4,0,cue,frontal,-0.039116488
s3,0,cue,frontal,-0.00054624
s2,0,cue,frontal,0.007801746
s9,1,cue,frontal,0.005341886
s7,3,cue,frontal,-0.039685572
s10,1,cue,frontal,-0.022527165
s12,1,cue,frontal,-0.00717138
s5,3,cue,frontal,0.025692651
s4,3,cue,frontal,0.118515038
s3,3,cue,frontal,0.019946494
s2,3,cue,frontal,0.009914792
s1,3,cue,frontal,0.037749952
s0,3,cue,frontal,0.047858789
s13,2,cue,frontal,0.004395993
s12,2,cue,frontal,-0.007507128
s11,2,cue,frontal,-0.05676809
s10,2,cue,frontal,-0.019876666
s9,2,cue,frontal,0.02796442
s8,2,cue,frontal,-0.012496235
s7,2,cue,frontal,-0.043013683
s6,2,cue,frontal,0.009210767
s5,2,cue,frontal,0.002120521
s4,2,cue,frontal,0.018849763
s3,2,cue,frontal,0.002452836
s2,2,cue,frontal,-0.00904849
s1,2,cue,frontal,-0.02706589
s0,2,cue,frontal,0.024296002
s13,1,cue,frontal,-0.010346102
s11,1,cue,frontal,-0.058813682
s9,13,cue,frontal,0.020073957
s8,13,cue,frontal,0.008419257
s7,13,cue,frontal,-0.017513091
s8,7,cue,frontal,0.019027522
s6,7,cue,frontal,-0.042295382
s5,7,cue,frontal,-0.014399555
s4,7,cue,frontal,-0.086785674
s11,8,cue,frontal,-0.04492533
s9,10,cue,frontal,0.010463461
s12,8,cue,frontal,-0.003194767
s0,9,cue,frontal,0.010027056
s7,10,cue,frontal,0.005585162
s6,10,cue,frontal,-0.064226067
s5,10,cue,frontal,-0.025539184
s4,10,cue,frontal,-0.066592866
s3,10,cue,frontal,-0.093256785
s2,10,cue,frontal,-0.003770667
s1,10,cue,frontal,-0.097983959
s0,10,cue,frontal,0.010983874
s13,9,cue,frontal,-0.082954841
s12,9,cue,frontal,-0.007656074
s11,9,cue,frontal,-0.036139696
s10,9,cue,frontal,-0.039302714
s9,9,cue,frontal,-0.003133202
s8,9,cue,frontal,-0.005735365
s7,9,cue,frontal,0.014398519
s6,9,cue,frontal,-0.070898083
s5,9,cue,frontal,-0.028837065
s4,9,cue,frontal,-0.136591742
s3,9,cue,frontal,-0.077533447
s2,9,cue,frontal,-0.037688644
s1,9,cue,frontal,-0.146047994
s13,8,cue,frontal,-0.070990921
s7,7,cue,frontal,0.008843981
s9,7,cue,frontal,0.003642592
s6,13,cue,frontal,-0.03765226
s10,7,cue,frontal,-0.047083649
s5,13,cue,frontal,-0.014984725
s4,13,cue,frontal,-0.021514219
s3,13,cue,frontal,-0.047639051
s2,13,cue,frontal,0.047918335
s1,13,cue,frontal,0.028378655
s0,13,cue,frontal,-0.021728985
s13,12,cue,frontal,-0.020686078
s12,12,cue,frontal,-0.00303419
s11,12,cue,frontal,0.055766217
s10,12,cue,frontal,0.005711181
s9,12,cue,frontal,0.024291517
s7,12,cue,frontal,-0.014005339
s2,7,cue,frontal,-0.07836322
s10,10,cue,frontal,-0.016124104
s8,10,cue,frontal,-0.015140519
s10,8,cue,frontal,-0.052504539
s9,8,cue,frontal,-0.008728632
s8,8,cue,frontal,0.00727779
s7,8,cue,frontal,0.01576509
s6,8,cue,frontal,-0.063960667
s5,8,cue,frontal,-0.028291748
s4,8,cue,frontal,-0.160820708
s3,8,cue,frontal,-0.033848207
s2,8,cue,frontal,-0.069665807
s1,8,cue,frontal,-0.136059024
s0,8,cue,frontal,0.018165421
s13,7,cue,frontal,-0.0291303
s12,7,cue,frontal,-0.004939106
s11,7,cue,frontal,-0.02536671
s0,0,cue,parietal,-0.006899235
